,id,name,category,rating,reviews,price,zipcode,latitude,longitude,city,address1,address2,address3,display_address,postcode,area
1582,E9A8_TBPX-neMUP3stwsEg,Timothy Crough's,pub,4.5,2,2,8,53.33954,-6.31877,Inchicore,1 St Vincents Street West,,,"['1 St Vincents Street West', 'Inchicore, 8', 'Republic of Ireland']",D08 WT0A,D08
1583,VTvjExio4GUtrG0S8zjJDQ,Kylemore House,pub,5.0,1,1,12,53.32908,-6.34029,Dublin,Old Naas Road,,,"['Old Naas Road', 'Dublin 12', 'Republic of Ireland']",D12 XCY2,D12
1584,lkj-M_fKGJFLrp6vBe3JLg,Palace Guest House,irish,4.0,1,,2,53.34143,-6.26604,Dublin,15 Upper Stephen St,,,"['15 Upper Stephen St', 'Dublin 2', 'Republic of Ireland']",D02 DV74,D02
1585,UZKnEgmqVBnwA5E715m_qw,Frank Ryan's,bar,5.0,1,,,53.3470001,-6.2800798,Smithfield,5 Queen Street,,,"['5 Queen Street', 'Smithfield, Co. Dublin', 'Republic of Ireland']",D07 Y683,D07
1587,naCbZvFYvYk4HegKDiMUvQ,La Vie,bar,2.0,1,,2,53.34293,-6.26402,Dublin,1-5 Exchequer St,,City Centre South,"['1-5 Exchequer St', 'City Centre South', 'Dublin 2', 'Republic of Ireland']",D02 VH59,D02
1588,Xws-R1b8ufGmuH5dR-57HQ,Mojo's Bar,pub,3.0,1,,1,53.3476799,-6.2641,Dublin,Middle Abbey St,,,"['Middle Abbey St', 'Dublin 1', 'Republic of Ireland']",D01 X015,D01
1589,T4nC-RFWD0CdDW6QK4INdg,Al Pacino's Italian Bistro & Wine Bar,pizza,4.0,1,,,53.3451996,-6.26296,Dublin,13 Crown Alley,Templebar,,"['13 Crown Alley', 'Templebar', 'Dublin', 'Republic of Ireland']",D01 E8P4,D01
1590,krcqXDoIiWi9TFnfSYZkHA,Corks,irish,5.0,1,,,53.3440863029357,-6.26967450000001,Dublin,16-18 Fishamble St,,,"['16-18 Fishamble St', 'Dublin', 'Republic of Ireland']",D08 E7R0,D08
1591,gmMdieCwS1yrV3EALpt2ZQ,Lowry's,pub,3.0,1,,1,53.357540362244,-6.24828670173883,Dublin,16 Summerhill Parade,,,"['16 Summerhill Parade', 'Dublin 1', 'Republic of Ireland']",D01 Y751,D01
1592,1z0SXcojzvuDJECldlG1ow,Widow Scallan's,pub,2.0,1,,2,53.3431,-6.24377,Dublin,130 Pearse Street,,,"['130 Pearse Street', 'Dublin 2', 'Republic of Ireland']",D02 RK37,D02
1593,CPz30TbpL2zb4Chjh--8bg,Phil Ryan's,pub,3.0,1,1,1,53.3587609,-6.2556959,Dublin,514 North Circular Road,,,"['514 North Circular Road', 'Dublin 1', 'Republic of Ireland']",D01 C2F6,D01
1594,X8Jl5Ftjk1ofDOEz3a6TEA,The Village Inn,bar,5.0,1,,11,53.387651,-6.301261,Dublin,1 Church Street,,,"['1 Church Street', 'Dublin 11', 'Republic of Ireland']",D11 K254,D11
1595,3_JLQq6VKwDJSzdk3swdfw,Frank Ryan's Bar,bar,3.0,1,,,53.346923828125,-6.27957010269165,Dublin,Coke Lane,,,"['Coke Lane', 'Dublin', 'Republic of Ireland']",D07 WNP2,D07
1596,q6gz90owAoHs7eRgS7zb_g,Mother Red Caps,pub,3.0,1,,8,53.3428802,-6.27388,Dublin,"Christchurch, Back lane",Back Lane,,"['Christchurch, Back lane', 'Back Lane', 'Dublin 8', 'Republic of Ireland']",D08 CX34,D08
1597,t_GOtXWEWkqXiSRZm8HRzQ,isabelle's,irish,5.0,1,,D02 HP70,53.34112,-6.25898,Dublin,13-14 South Anne St,,,"['13-14 South Anne St', 'Dublin, D02 HP70', 'Republic of Ireland']",D02 NY88,D02
1598,QAjg-9wYx2rmB2VrklnPqQ,Michael Kennys,pub,4.0,1,,8,53.34242,-6.29452,Dublin,174 James Street,,,"['174 James Street', 'Dublin 8', 'Republic of Ireland']",D08 NW89,D08
1603,DF2-t6Yj7MXOjBzMAl5zwA,Olesya's Wine Bar,bar,3.5,38,2,2,53.3431,-6.26312,Dublin,18 Exchequer Street,,,"['18 Exchequer Street', 'Dublin 2', 'Republic of Ireland']",D02 VH59,D02
