,id,name,category,rating,reviews,price,zipcode,latitude,longitude,city,address1,address2,address3,display_address
906,CGuWvR6GAMl63pn6ZUkwEg,Burger King,hotdogs,3.0,5,€,4,53.3338870307833,-6.24461228949769,Dublin,6 Baggot Street Upper,,,"['6 Baggot Street Upper', 'Dublin 4', 'Republic of Ireland']"
907,4UM9ZrCEPgYFuMskiI7CIA,Munchies,cafes,3.0,5,€€,3,53.357,-6.226,Dublin,Alfie Byrne Road,,Eastpoint Business Park,"['Alfie Byrne Road', 'Eastpoint Business Park', 'Dublin 3', 'Republic of Ireland']"
908,yrPlaoH6MBIfEGKuzUUPsA,Mao At Home,thai,1.5,5,€€,4,53.3211170523785,-6.23496362313564,Dublin,Main Street,Donnybrook,,"['Main Street', 'Donnybrook', 'Dublin 4', 'Republic of Ireland']"
909,Ifshm-uWnN5x1TgyoYdKlw,Unicorn by Fiorentina,italian,4.5,5,€€€,2,53.3380925082231,-6.25487833862303,Dublin,12b Merrion Court,Merrion Row,,"['12b Merrion Court', 'Merrion Row', 'Dublin 2', 'Republic of Ireland']"
910,HcesUmsSmxIqvTdgIOGoaA,Front Door,bistros,3.0,5,€€,,53.3441096471702,-6.26531406731453,Dublin,15 Dame Street,Temple Bar,,"['15 Dame Street', 'Temple Bar', 'Dublin', 'Republic of Ireland']"
911,F7cBQebcmM1Tj5WOcSbDSQ,Insomnia,coffee,3.5,5,,4,53.33354,-6.2448,Dublin,15 Upper Baggot St,,,"['15 Upper Baggot St', 'Dublin 4', 'Republic of Ireland']"
912,GrnnbW1IZ193oETzzLgrRw,Musashi,japanese,4.0,5,,2,53.3408893,-6.245149,Dublin,48 Hogan Place,,,"['48 Hogan Place', 'Dublin 2', 'Republic of Ireland']"
913,QfBotDxv4cnygrpc8m08ag,Nightmarket Thai Restaurant & Bar,thai,4.5,5,€€,6,53.3303242,-6.2597825,Dublin,120 Ranelagh Road,,,"['120 Ranelagh Road', 'Dublin 6', 'Republic of Ireland']"
914,KFJNBPdL8EtLbi47s4Iang,Wok On Inn,chinese,3.0,5,€,1,53.3511013,-6.2506287,Dublin,16 Amiens Street,,,"['16 Amiens Street', 'Dublin 1', 'Republic of Ireland']"
915,Nl-YmNETU3_xx6-umdZL9g,No. 5 Vinoteca,wine_bars,4.5,5,,,53.3382610731968,-6.25470325249671,Dublin,5-12 Merrion Row,,,"['5-12 Merrion Row', 'Dublin', 'Republic of Ireland']"
916,CztXhcHTwa1yzyKt3rSdFA,Shelbourne Social,bars,4.0,5,,4,53.331608,-6.231915,Ballsbridge,Unit 1,1 Shelbourne Rd,,"['Unit 1', '1 Shelbourne Rd', 'Ballsbridge, 4', 'Republic of Ireland']"
917,GusIXZSuUSBW3hDnoGwgsg,Skylon Bar & Grill,cocktailbars,3.0,5,,9,53.37238,-6.25321,Dublin,27 Upper Drumcondra Road,,,"['27 Upper Drumcondra Road', 'Dublin 9', 'Republic of Ireland']"
918,0pOF5ZvLm6LVmP0wIY-zcw,Kebab K-lub,hotdogs,2.5,5,,3,53.3640231955898,-6.23255216931148,Dublin,7 Marino Mart,,,"['7 Marino Mart', 'Dublin 3', 'Republic of Ireland']"
919,OFacu60Rx899Sf6GC4b6FA,Juanitos,breakfast_brunch,5.0,5,,,53.342764,-6.263146,Dublin 2,35 Drury St,,,"['35 Drury St', 'Dublin 2, Co. Dublin', 'Republic of Ireland']"
920,XcPvdBgjcX3nwbP56Jufsw,Rhubarb Cafe,coffee,2.5,5,€,2,53.3349,-6.2536699,Dublin,1 Lower Pembroke Street,,,"['1 Lower Pembroke Street', 'Dublin 2', 'Republic of Ireland']"
921,1pkEkvYx85gyY3MfB4R_9Q,China House,dimsum,3.0,5,€€,1,53.351293,-6.2644572,Dublin,180 Parnell St,,,"['180 Parnell St', 'Dublin 1', 'Republic of Ireland']"
922,yfDYrQQb_3Ve_zxxEZwSdw,Abrakebabra,diners,3.0,5,,4,53.322573,-6.237986,Donnybrokk,3 Donnybrook Road,,,"['3 Donnybrook Road', 'Donnybrokk, 4', 'Republic of Ireland']"
923,4IUB3Da1EsPcukzrAcISnA,Dawson Brasserie,brasseries,4.0,4,€€€€,2,53.3404339,-6.2586882,Dublin,35 Dawson Street,,,"['35 Dawson Street', 'Dublin 2', 'Republic of Ireland']"
924,e2gfMWDRjak8eIWELKklCA,The Punnet Health Hub,salad,5.0,4,€,2,53.3323068452972,-6.26476527606508,Dublin,2 Richmond Villas,Richmond Street S,,"['2 Richmond Villas', 'Richmond Street S', 'Dublin 2', 'Republic of Ireland']"
925,KZXZKawexAWJ3ttqZ0uIjg,Mama Mia,italian,3.5,4,,1,53.3474751748127,-6.26262304339389,Dublin,Lotts Lane,,,"['Lotts Lane', 'Dublin 1', 'Republic of Ireland']"
926,tePVVtgc8uPdpQA4zNcgBQ,Fonte Coffee,coffee,5.0,4,,,53.3443587944262,-6.26740807404687,Dublin,36 Parliament Street,Temple Bar,,"['36 Parliament Street', 'Temple Bar', 'Dublin', 'Republic of Ireland']"
927,W0WM8qdL5Q252sg95ARCDA,Fragrant River,chinese,1.5,4,€,3,53.35916,-6.24091,Dublin,67 North Strand Road,,,"['67 North Strand Road', 'Dublin 3', 'Republic of Ireland']"
928,-lrdxIwRiUY4FpNK1NIyfA,The Best of Italy,delis,4.0,4,,6,53.32115,-6.25618,Dublin,Dunville Ave,Ranelagh,,"['Dunville Ave', 'Ranelagh', 'Dublin 6', 'Republic of Ireland']"
929,9JomnCp2TnoRhSCqA5YcyQ,New Bamboo,chinese,2.0,4,,,53.3240104612067,-6.25201403815978,Rathmines,109A Ranelagh Village,,,"['109A Ranelagh Village', 'Rathmines, Co. Dublin', 'Republic of Ireland']"
930,qFVMsC-9ltjmivMmRXqdLA,Hong Kee,chinese,3.0,4,,9,53.3654961435717,-6.27152959006452,Glasnevin,13 Prospect Road,Harts Corner,,"['13 Prospect Road', 'Harts Corner', 'Glasnevin, 9', 'Republic of Ireland']"
931,DTThCKBAqyM3Rzjs0Do7LA,Nando's,cafes,3.5,4,,24,53.3410606,-6.2245798,Dublin,Level 3,"The Square, Tallaght",,"['Level 3', 'The Square, Tallaght', 'Dublin 24', 'Republic of Ireland']"
932,qBq4dWFfk2lWQrEskBc1tg,Noshington,coffee,4.5,4,,6,53.3241372718116,-6.27937838598325,Dublin,Harolds Cross Park,,,"['Harolds Cross Park', 'Dublin 6', 'Republic of Ireland']"
933,eNthxtuElgefs6RLXI0xZg,Capri,hotdogs,4.0,4,€,12,53.3208,-6.29275,Dublin,40 Sundrive Road,Kimmage,,"['40 Sundrive Road', 'Kimmage', 'Dublin 12', 'Republic of Ireland']"
934,2Y89DoSEOA_u--iJIEbYbg,Sip & Slurp,soup,4.0,4,€€€€,2,53.3313270388162,-6.26138229972992,Dublin,67 Charlemont St,,,"['67 Charlemont St', 'Dublin 2', 'Republic of Ireland']"
935,H1YPMpj6wdsGrG84Qgc8eQ,Debenhams Cafe,cafes,4.0,4,,1,53.3494,-6.2626,Dublin,54-62 Henry Street,,,"['54-62 Henry Street', 'Dublin 1', 'Republic of Ireland']"
936,ePzeyc4IkDVXzzsDo0OJrg,Freshly Chopped,salad,3.5,4,€€,2,53.3459132026476,-6.25942021608353,Dublin,8-9 Westmoreland Street,,,"['8-9 Westmoreland Street', 'Dublin 2', 'Republic of Ireland']"
937,zG4WBjsCDqT8ku6GI-er7g,Royal Pizza,pizza,2.0,4,€,1,53.3475,-6.26324,Dublin,11 Liffey Street,,,"['11 Liffey Street', 'Dublin 1', 'Republic of Ireland']"
938,SZLwI7CL-tlCxD9p8icqlQ,Firepit,streetvendors,3.5,4,,2,53.3385321789577,-6.26604713999423,Dublin,40 Aungier Street,City Centre South,,"['40 Aungier Street', 'City Centre South', 'Dublin 2', 'Republic of Ireland']"
